ID,title,author_ID,genre_code,publishedAt,pages,price,currency_code,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
29590655-1251-4ebf-a1b7-494cec23f3ec,title-29590655,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590655,2011-11-06,74,3443184.25,USD,21,U,2018-11-26T00:00:00.000Z,createdBy.hm8an@example.com,2007-05-19T00:00:00.000Z,modifiedBy.hm8an@example.net
29590656-2e80-450d-b217-7fc541e3e668,title-29590656,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590656,2017-08-30,64,6122654.24,VND,12,A,2001-05-19T00:00:00.000Z,createdBy.hm8ao@example.com,2009-10-09T00:00:00.000Z,modifiedBy.hm8ao@example.com
29590657-75fc-470f-a289-0d695c80ab88,title-29590657,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590657,2013-09-07,95,6575351.1,INR,18,A,2011-12-04T00:00:00.000Z,createdBy.hm8ap@example.com,2003-09-12T00:00:00.000Z,modifiedBy.hm8ap@example.net
29590658-6586-460c-b7c9-63551e31ca0e,title-29590658,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590658,2008-09-11,40,9656542.12,INR,96,U,2005-01-02T00:00:00.000Z,createdBy.hm8aq@example.com,2022-11-09T00:00:00.000Z,modifiedBy.hm8aq@example.net
29590659-3621-4191-ab53-3a0920688f89,title-29590659,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590659,2002-07-11,55,4714599.17,INR,70,U,2011-10-13T00:00:00.000Z,createdBy.hm8ar@example.org,2022-06-22T00:00:00.000Z,modifiedBy.hm8ar@example.org
29590660-f4e2-4805-83d6-e9dfeb6cd097,title-29590660,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590660,2003-12-28,14,9565322.57,INR,55,L,2020-05-05T00:00:00.000Z,createdBy.hm8as@example.com,2004-03-01T00:00:00.000Z,modifiedBy.hm8as@example.org
29590661-ad51-4780-85d3-e85e46bb1200,title-29590661,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590661,2012-10-06,97,3235206.19,INR,43,U,2017-04-07T00:00:00.000Z,createdBy.hm8at@example.org,2012-06-05T00:00:00.000Z,modifiedBy.hm8at@example.com
29590662-ccb5-4825-b737-7e8e8a834a69,title-29590662,31681496-a5b7-429a-8fdb-c769f9151496,Art,2000-03-05,68,1019377.13,INR,49,U,2021-07-18T00:00:00.000Z,createdBy.hm8au@example.net,2019-09-30T00:00:00.000Z,modifiedBy.hm8au@example.org
29590663-4757-479f-868d-877daf6d860d,title-29590663,31681496-a5b7-429a-8fdb-c769f9151496,Art,2006-07-30,11,4498170.24,INR,40,L,2015-08-01T00:00:00.000Z,createdBy.hm8av@example.com,2017-09-20T00:00:00.000Z,modifiedBy.hm8av@example.com
29590664-c265-4216-8608-9a5382f1947a,title-29590664,31681496-a5b7-429a-8fdb-c769f9151496,genre-29590664,2009-01-01,79,6141961.28,INR,14,U,2006-06-28T00:00:00.000Z,createdBy.hm8aw@example.org,2008-01-31T00:00:00.000Z,modifiedBy.hm8aw@example.com
